English,Russian
a/an,неопределенный артикль
abandon,покидать/оставлять/отказываться
ability,способность/умение
able,способный/умеющий
about,о/примерно/вокруг
above,над/выше/свыше
abroad,за границей/за рубежом
absence,отсутствие/неявка
absolute,абсолютный/полный
absolutely,абсолютно/совершенно
absorb,поглощать/впитывать
abstract,абстрактный/отвлеченный
abuse,злоупотребление/оскорбление/жестокое обращение
academic,академический/учебный
accent,акцент/ударение
accept,принимать/соглашаться
acceptable,приемлемый/допустимый
access,доступ/подход
accident,несчастный случай/авария
accompany,сопровождать/сопутствовать
accomplish,выполнять/завершать
according,согласно/в соответствии
account,счет/отчет/учетная запись
accurate,точный/правильный
accuse,обвинять/осуждать
achieve,достигать/добиваться
achievement,достижение/результат
acid,кислота/кислый
acknowledge,признавать/подтверждать
acquire,приобретать/получать
across,через/поперек
act,действовать/играть/акт
action,действие/поступок
active,активный/деятельный
activity,деятельность/активность
actor,актер/исполнитель
actress,актриса
actual,фактический/реальный/действительный
actually,на самом деле/фактически
ad,объявление/реклама
adapt,адаптировать/приспосабливать
add,добавлять/прибавлять
addition,добавление/прибавление
additional,дополнительный/добавочный
address,адрес/обращаться
adequate,адекватный/достаточный
adjust,регулировать/настраивать
administration,администрация/управление
admire,восхищаться/любоваться
admit,признавать/допускать
adopt,принимать/усыновлять
adult,взрослый/совершеннолетний
advance,продвигаться/прогресс
advantage,преимущество/выгода
adventure,приключение/авантюра
advertise,рекламировать/объявлять
advertisement,реклама/объявление
advice,совет/рекомендация
advise,советовать/рекомендовать
affair,дело/событие/роман
affect,влиять/затрагивать
afford,позволять себе/иметь возможность
afraid,испуганный/боящийся
after,после/после того как
afternoon,послеполуденное время
afterwards,впоследствии/позже
again,снова/опять
against,против/вопреки
age,возраст/эпоха
agency,агентство/учреждение
agent,агент/представитель
aggressive,агрессивный/напористый
ago,тому назад/раньше
agree,соглашаться/договариваться
agreement,соглашение/договор
ahead,впереди/вперед
aid,помощь/помогать
aim,цель/направлять
air,воздух/эфир
aircraft,самолет/воздушное судно
airport,аэропорт
alarm,тревога/сигнализация
album,альбом
alcohol,алкоголь/спирт
alive,живой/активный
all,все/весь/вся
allow,позволять/разрешать
almost,почти/едва ли не
alone,одинокий/один
along,вдоль/вместе
already,уже
also,также/тоже
alter,изменять/менять
alternative,альтернатива/выбор
although,хотя/несмотря на
always,всегда/постоянно
amaze,поражать/изумлять
ambition,амбиция/честолюбие
among,среди/между
amount,количество/сумма
analyse,анализировать/исследовать
analysis,анализ/исследование
ancient,древний/старинный
and,и/а
anger,гнев/злость
angle,угол/перспектива
angry,сердитый/злой
animal,животное/зверь
announce,объявлять/возвещать
annoy,раздражать/надоедать
annual,ежегодный/годовой
another,другой/еще один
answer,ответ/отвечать
anxious,тревожный/озабоченный
any,любой/какой-либо
anybody,кто-либо/кто-нибудь
anyone,кто-либо/любой
anything,что-либо/что-нибудь
anyway,в любом случае/так или иначе
anywhere,где-либо/куда-либо
apart,врозь/отдельно
apartment,квартира/апартаменты
apparent,очевидный/явный
apparently,очевидно/по-видимому
appeal,обращаться/апеллировать
appear,появляться/казаться
appearance,внешность/появление
apple,яблоко
application,применение/заявление
apply,применять/подавать заявление
appoint,назначать/определять
appointment,назначение/встреча
appreciate,ценить/оценивать
approach,подход/приближаться
appropriate,соответствующий/подходящий
approve,одобрять/утверждать
approximate,приблизительный/примерный
area,область/площадь/район
argue,спорить/утверждать
argument,аргумент/спор
arise,возникать/появляться
arm,рука/оружие
army,армия/войско
around,вокруг/около
arrange,организовывать/договариваться
arrangement,договоренность/аранжировка
arrest,арестовывать/задерживать
arrival,прибытие/приезд
arrive,прибывать/приезжать
art,искусство/художество
article,статья/предмет
artist,художник/артист
as,как/в качестве
ashamed,пристыженный/посрамленный
ask,спрашивать/просить
asleep,спящий/уснувший
aspect,аспект/сторона
assist,помогать/содействовать
assistance,помощь/содействие
assistant,помощник/ассистент
associate,связывать/ассоциировать
association,ассоциация/объединение
assume,предполагать/принимать
at,в/на/у
atmosphere,атмосфера/обстановка
attach,прикреплять/присоединять
attack,атака/нападать
attempt,попытка/пытаться
attend,посещать/присутствовать
attention,внимание
attitude,отношение/позиция
attract,привлекать/притягивать
attraction,привлекательность/аттракцион
attractive,привлекательный
audience,аудитория/зрители
author,автор/писатель
authority,власть/полномочия
automatic,автоматический
available,доступный/имеющийся
average,средний/обычный
avoid,избегать/уклоняться
award,награда/приз
aware,осознающий/знающий
away,прочь/вдали
awful,ужасный/отвратительный
baby,ребенок/младенец
back,спина/назад
background,фон/происхождение
bad,плохой/нехороший
badly,плохо/сильно
bag,сумка/мешок
balance,баланс/равновесие
ball,мяч/шар
band,группа/лента
bank,банк/берег
bar,бар/планка
bare,голый/пустой
base,основание/базировать
basic,основной/базовый
basis,основа/базис
bath,ванна/купание
bathroom,ванная комната
battle,битва/сражение
be,быть/являться
beach,пляж/берег
bear,медведь/терпеть
beat,бить/побеждать
beautiful,красивый/прекрасный
beauty,красота/прелесть
because,потому что/так как
become,становиться
bed,кровать/постель
bedroom,спальня
beer,пиво
before,до/перед
begin,начинать
beginning,начало
behaviour,поведение
behind,позади/сзади
belief,вера/убеждение
believe,верить/полагать
bell,колокол/звонок
belong,принадлежать
below,ниже/под
belt,пояс/ремень
bend,сгибать/изгиб
beneath,под/ниже
benefit,польза/выгода
beside,рядом/около
best,лучший/наилучший
bet,ставка/держать пари
better,лучше/лучший
between,между
beyond,за/вне/сверх
bicycle,велосипед
big,большой/крупный
bill,счет/законопроект
bird,птица
birth,рождение
birthday,день рождения
bit,кусочек/немного
bite,кусать/укус
black,черный/темный
blame,вина/обвинять
blank,пустой/чистый
blind,слепой/незрячий
block,блок/квартал
blood,кровь
blow,дуть/удар
blue,синий/голубой
board,доска/совет
boat,лодка/судно
body,тело/организм
bone,кость
book,книга/бронировать
boot,ботинок/сапог
border,граница/край
bore,надоедать/скучать
born,рожденный
borrow,занимать/брать взаймы
boss,босс/начальник
both,оба/и тот и другой
bother,беспокоить/утруждать
bottle,бутылка
bottom,дно/низ
box,коробка/ящик
boy,мальчик/парень
brain,мозг/ум
branch,ветка/филиал
brave,храбрый/смелый
bread,хлеб
break,ломать/перерыв
breakfast,завтрак
breath,дыхание/вздох
breathe,дышать
bridge,мост
bright,яркий/умный
brilliant,блестящий/великолепный
bring,приносить/приводить
broad,широкий/обширный
brother,брат
brown,коричневый
brush,щетка/кисть
budget,бюджет
build,строить/создавать
building,здание/строение
burn,гореть/жечь
burst,взрываться/прорываться
bus,автобус
business,бизнес/дело
busy,занятый/деловой
but,но/а
butter,масло
button,кнопка/пуговица
buy,покупать/приобретать
by,к/по
cafe,кафе
cake,торт/пирожное
call,звонить/называть
calm,спокойный/успокаивать
camera,камера/фотоаппарат
camp,лагерь/кемпинг
campaign,кампания/акция
can,мочь/банка
cancel,отменять/аннулировать
cancer,рак/онкология
candidate,кандидат/претендент
cap,кепка/крышка
capable,способный/умелый
capacity,емкость/способность
capital,столица/капитал
captain,капитан
car,автомобиль/машина
card,карта/карточка
care,забота/уход
career,карьера
careful,осторожный/внимательный
careless,беспечный/небрежный
carry,нести/перевозить
case,случай/дело
cash,наличные/деньги
cat,кот/кошка
catch,ловить/поймать
category,категория/разряд
cause,причина/вызывать
cell,клетка/ячейка
central,центральный/главный
centre/center,центр/середина
century,век/столетие
ceremony,церемония
certain,определенный/некоторый
certainly,конечно/безусловно
chain,цепь/сеть
chair,стул/председатель
chairman,председатель
challenge,вызов/проблема
chance,шанс/возможность
change,менять/изменение
channel,канал/канал TV
chapter,глава/раздел
character,персонаж/характер
characteristic,характерный/особенность
charge,заряжать/обвинять
chart,диаграмма/график
cheap,дешевый
cheat,обманывать/мошенничать
check,проверять/чек
